,Name of movie,Rating,Genre,Watchtime,Stars
60,Ayla: The Daughter of War,Not Rated,Biography Drama History,125,8.4
61,Your Name.,PG,Animation Drama Fantasy,106,8.4
62,Dangal,Not Rated,Action Biography Drama,161,8.4
63,Spider-Man: Into the Spider-Verse,PG,Animation Action Adventure,117,8.4
64,Avengers: Endgame,PG-13,Action Adventure Drama,181,8.4
65,Avengers: Infinity War,PG-13,Action Adventure Sci-Fi,149,8.4
66,Coco,PG,Animation Adventure Comedy,105,8.4
67,Django Unchained,R,Drama Western,165,8.4
68,The Dark Knight Rises,PG-13,Action,164,8.4
69,3 Idiots,PG-13,Comedy Drama,170,8.4
70,Like Stars on Earth,PG,Drama Family,165,8.4
71,WALL·E,G,Animation Adventure Family,98,8.4
72,The Lives of Others,R,Drama Mystery Thriller,137,8.4
73,Oldboy,R,Action Drama Mystery,120,8.4
74,Memento,R,Mystery Thriller,113,8.4
75,Princess Mononoke,PG-13,Animation Action Adventure,134,8.4
76,Once Upon a Time in America,R,Crime Drama,229,8.4
77,Indiana Jones and the Raiders of the Lost Ark,PG,Action Adventure,115,8.4
78,The Shining,R,Drama Horror,146,8.4
79,Apocalypse Now,R,Drama Mystery War,147,8.4
80,Alien,R,Horror Sci-Fi,117,8.4
81,High and Low,Not Rated,Crime Drama Mystery,143,8.4
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,PG,Comedy,95,8.4
83,Witness for the Prosecution,Not Rated,Crime Drama Mystery,116,8.4
84,Paths of Glory,Not Rated,Drama War,88,8.4
85,Sunset Blvd.,Not Rated,Drama Film-Noir,110,8.4
86,The Great Dictator,G,Comedy Drama War,125,8.4
87,Chhichhore,Not Rated,Comedy Drama Romance,143,8.3
88,1917,R,Action Drama War,119,8.3
89,Uri: The Surgical Strike,Not Rated,Action Drama War,138,8.3
90,Tumbbad,Not Rated,Drama Fantasy Horror,104,8.3
91,K.G.F: Chapter 1,Not Rated,Action Crime Drama,156,8.3
92,Vikram Vedha,Not Rated,Action Crime Drama,147,8.3
93,Drishyam,Not Rated,Crime Drama Thriller,160,8.3
94,The Hunt,R,Drama,115,8.3
95,A Separation,PG-13,Drama,123,8.3
96,Incendies,R,Drama Mystery War,131,8.3
97,Demon Slayer: Mugen Train,R,Animation Action Adventure,117,8.3
98,The Father,PG-13,Drama,97,8.3
99,My Father and My Son,Not Rated,Drama Family,112,8.3
100,Inglourious Basterds,R,Adventure Drama War,153,8.3
101,Eternal Sunshine of the Spotless Mind,R,Drama Romance Sci-Fi,108,8.3
102,Amélie,R,Comedy Romance,122,8.3
103,Snatch,R,Comedy Crime,102,8.3
104,Requiem for a Dream,R,Drama,102,8.3
105,American Beauty,R,Drama,122,8.3
106,Good Will Hunting,R,Drama Romance,126,8.3
107,Children of Heaven,PG,Drama Family Sport,89,8.3
108,Toy Story,G,Animation Adventure Comedy,81,8.3
109,Braveheart,R,Biography Drama History,178,8.3
110,Reservoir Dogs,R,Crime Drama Thriller,99,8.3
111,Full Metal Jacket,R,Drama War,116,8.3
112,Come and See,Not Rated,Drama Thriller War,142,8.3
113,Aliens,R,Action Adventure Sci-Fi,137,8.3
114,Amadeus,R,Biography Drama History,160,8.3
115,Scarface,R,Crime Drama,170,8.3
116,Star Wars: Episode VI - Return of the Jedi,PG,Action Adventure Fantasy,131,8.3
117,Das Boot,R,Adventure Drama Thriller,149,8.3
118,The Sting,PG,Comedy Crime Drama,129,8.3
119,A Clockwork Orange,R,Crime Drama Sci-Fi,136,8.3
120,2001: A Space Odyssey,G,Adventure Sci-Fi,149,8.3
121,To Kill a Mockingbird,Not Rated,Crime Drama,129,8.3
122,Lawrence of Arabia,Not Rated,Adventure Biography Drama,228,8.3
123,The Apartment,Not Rated,Comedy Drama Romance,125,8.3
