,Name of movie,Rating,Genre,Watchtime,Stars
477,Shoplifters,R,Crime Drama,121,7.9
478,Marriage Story,R,Comedy Drama Romance,137,7.9
479,Hindi Medium,Not Rated,Comedy Drama,132,7.9
480,Call Me by Your Name,R,Drama Romance,132,7.9
481,"I, Daniel Blake",R,Drama,100,7.9
482,Isle of Dogs,PG-13,Animation Adventure Comedy,101,7.9
483,Hunt for the Wilderpeople,PG-13,Adventure Comedy Drama,101,7.9
484,M.S. Dhoni: The Untold Story,Not Rated,Biography Drama Sport,184,7.9
485,Captain Fantastic,R,Comedy Drama,118,7.9
486,Sing Street,PG-13,Comedy Drama Music,106,7.9
487,Thor: Ragnarok,PG-13,Action Adventure Comedy,130,7.9
488,Jojo Rabbit,PG-13,Comedy Drama War,108,7.9
489,Arrival,PG-13,Drama Sci-Fi,116,7.9
490,Gully Boy,Not Rated,Drama Music Romance,154,7.9
491,Before Midnight,R,Drama Romance,109,7.9
492,X-Men: Days of Future Past,PG-13,Action Adventure Sci-Fi,132,7.9
493,Once Upon a Time in Anatolia,Not Rated,Crime Drama,157,7.9
494,Bohemian Rhapsody,PG-13,Biography Drama Music,134,7.9
495,The Perks of Being a Wallflower,PG-13,Drama Romance,103,7.9
496,The Artist,PG-13,Comedy Drama Romance,100,7.9
497,Edge of Tomorrow,PG-13,Action Adventure Sci-Fi,113,7.9
498,Amour,PG-13,Drama,127,7.9
499,A Prophet,R,Crime Drama,155,7.9
500,Let the Right One In,R,Crime Drama Fantasy,114,7.9
501,District 9,R,Action Sci-Fi Thriller,112,7.9
502,The Wrestler,R,Drama Sport,109,7.9
503,Jab We Met,Not Rated,Comedy Drama Romance,138,7.9
504,Boyhood,R,Drama,165,7.9
505,"4 Months, 3 Weeks and 2 Days",Not Rated,Drama,113,7.9
506,Star Trek,PG-13,Action Adventure Sci-Fi,127,7.9
507,In Bruges,R,Comedy Crime Drama,107,7.9
508,The Man from Earth,Not Rated,Drama Fantasy Mystery,87,7.9
509,Letters from Iwo Jima,R,Action Adventure Drama,141,7.9
510,Life of Pi,PG,Adventure Drama Fantasy,127,7.9
511,Fantastic Mr. Fox,PG,Animation Adventure Comedy,87,7.9
512,C.R.A.Z.Y.,Not Rated,Comedy Drama,129,7.9
513,The Chorus,PG-13,Comedy Drama Music,97,7.9
514,Iron Man,PG-13,Action Adventure Sci-Fi,126,7.9
515,Shaun of the Dead,R,Comedy Horror,99,7.9
516,Kal Ho Naa Ho,Not Rated,Comedy Drama Musical,186,7.9
517,Head-On,R,Drama Romance,121,7.9
518,Mystic River,R,Crime Drama Mystery,138,7.9
519,Harry Potter and the Prisoner of Azkaban,PG,Adventure Family Fantasy,142,7.9
520,Hero,PG-13,Action Adventure History,120,7.9
521,Millennium Actress,PG,Animation Drama Fantasy,87,7.9
522,Talk to Her,R,Drama Mystery Romance,112,7.9
523,No Man's Land,R,Comedy Drama War,98,7.9
524,Cowboy Bebop: The Movie,TV-14,Animation Action Crime,115,7.9
525,The Bourne Identity,PG-13,Action Mystery Thriller,119,7.9
526,Nine Queens,R,Crime Drama Thriller,114,7.9
527,Children of Men,R,Action Sci-Fi Thriller,109,7.9
528,All About My Mother,R,Drama,101,7.9
529,Almost Famous,R,Adventure Comedy Drama,122,7.9
530,Mulholland Drive,R,Drama Mystery Thriller,147,7.9
531,Shrek,PG,Animation Adventure Comedy,90,7.9
532,Toy Story 2,G,Animation Adventure Comedy,92,7.9
533,Knockin' on Heaven's Door,Not Rated,Action Crime Comedy,87,7.9
534,Boogie Nights,R,Drama,155,7.9
535,Whisper of the Heart,G,Animation Drama Family,111,7.9
536,Once Were Warriors,R,Crime Drama,102,7.9
537,True Romance,R,Crime Drama Romance,119,7.9
538,Three Colors: Blue,R,Drama Music Mystery,94,7.9
539,Ninja Scroll,Not Rated,Animation Action Adventure,94,7.9
540,Carlito's Way,R,Crime Drama Thriller,144,7.9
541,Edward Scissorhands,PG-13,Drama Fantasy Romance,105,7.9
542,My Left Foot,R,Biography Drama,103,7.9
543,Kiki's Delivery Service,G,Animation Adventure Drama,103,7.9
544,Crimes and Misdemeanors,PG-13,Comedy Drama,104,7.9
545,The Untouchables,R,Crime Drama Thriller,119,7.9
546,Hannah and Her Sisters,PG-13,Comedy Drama,107,7.9
547,Brazil,R,Drama Sci-Fi,132,7.9
548,This Is Spinal Tap,R,Comedy Music,82,7.9
549,A Christmas Story,PG,Comedy Family,93,7.9
550,The Blues Brothers,R,Action Adventure Comedy,133,7.9
551,Manhattan,R,Comedy Drama Romance,96,7.9
552,All That Jazz,R,Drama Music Musical,123,7.9
553,Dawn of the Dead,Not Rated,Horror Thriller,127,7.9
554,The Holy Mountain,R,Adventure Drama Fantasy,114,7.9
555,Amarcord,R,Comedy Drama,123,7.9
556,The Discreet Charm of the Bourgeoisie,PG,Comedy,102,7.9
557,"Aguirre, the Wrath of God",Not Rated,Action Adventure Biography,95,7.9
558,Harold and Maude,PG,Comedy Drama Romance,91,7.9
559,Patton,GP,Biography Drama War,172,7.9
560,The Wild Bunch,R,Action Adventure Western,135,7.9
561,Night of the Living Dead,Not Rated,Horror Thriller,96,7.9
562,The Lion in Winter,PG,Biography Drama History,134,7.9
563,In the Heat of the Night,Not Rated,Crime Drama Mystery,110,7.9
564,Charade,Not Rated,Comedy Mystery Romance,113,7.9
565,The Manchurian Candidate,PG-13,Drama Thriller,126,7.9
566,Spartacus,PG-13,Adventure Biography Drama,197,7.9
567,L'Avventura,Not Rated,Drama Mystery Romance,144,7.9
568,Hiroshima Mon Amour,Not Rated,Drama Romance,90,7.9
569,The Ten Commandments,G,Adventure Drama,220,7.9
570,The Searchers,Not Rated,Adventure Drama Western,119,7.9
571,East of Eden,PG,Drama,118,7.9
572,Harvey,Not Rated,Comedy Drama Fantasy,104,7.9
573,Miracle on 34th Street,Not Rated,Comedy Drama Family,96,7.9
574,The Big Sleep,Not Rated,Crime Film-Noir Mystery,114,7.9
575,The Lost Weekend,Not Rated,Drama Film-Noir,101,7.9
576,The Philadelphia Story,Not Rated,Comedy Romance,112,7.9
577,His Girl Friday,Not Rated,Comedy Drama Romance,92,7.9
578,Stagecoach,Not Rated,Adventure Drama Western,96,7.9
579,Bringing Up Baby,Not Rated,Comedy Family Romance,102,7.9
580,The Adventures of Robin Hood,PG,Action Adventure Romance,102,7.9
581,A Night at the Opera,Not Rated,Comedy Music Musical,96,7.9
582,King Kong,Not Rated,Adventure Horror Sci-Fi,100,7.9
583,Freaks,Not Rated,Drama Horror,64,7.9
584,Nosferatu,Not Rated,Fantasy Horror,94,7.9
585,The Gentlemen,R,Action Comedy Crime,113,7.8
586,Badla,Not Rated,Crime Drama Mystery,118,7.8
587,Raazi,Not Rated,Action Drama Thriller,138,7.8
588,Sound of Metal,R,Drama Music,120,7.8
589,Dunkirk,PG-13,Action Drama History,106,7.8
590,Perfect Strangers,Not Rated,Comedy Drama,96,7.8
591,Hidden Figures,PG,Biography Drama History,127,7.8
592,Paddington 2,PG,Animation Adventure Comedy,103,7.8
593,Udta Punjab,Not Rated,Action Crime Drama,148,7.8
594,Kubo and the Two Strings,PG,Animation Action Adventure,101,7.8
595,Manchester by the Sea,R,Drama,137,7.8
596,Land of Mine,R,Drama History War,100,7.8
597,Rogue One: A Star Wars Story,PG-13,Action Adventure Sci-Fi,133,7.8
598,Captain America: Civil War,PG-13,Action Adventure Sci-Fi,147,7.8
599,The Hateful Eight,R,Crime Drama Mystery,168,7.8
600,Little Women,PG,Drama Romance,135,7.8
601,Loving Vincent,PG-13,Animation Biography Crime,94,7.8
602,Pride,R,Biography Comedy Drama,119,7.8
603,Nightcrawler,R,Crime Drama Thriller,117,7.8
604,Star Wars: Episode VII - The Force Awakens,PG-13,Action Adventure Sci-Fi,138,7.8
605,The Great Beauty,Not Rated,Drama,141,7.8
606,The Lunchbox,PG,Drama Romance,104,7.8
607,Vicky Donor,Not Rated,Comedy Romance,126,7.8
608,Big Hero 6,PG,Animation Action Adventure,102,7.8
609,Kai Po Che,Not Rated,Drama Sport,120,7.8
610,About Time,R,Comedy Drama Fantasy,123,7.8
611,English Vinglish,Not Rated,Comedy Drama Family,134,7.8
612,The Wind Rises,PG-13,Animation Biography Drama,126,7.8
613,The Best Offer,R,Crime Drama Mystery,131,7.8
614,Moonrise Kingdom,PG-13,Comedy Drama Romance,94,7.8
615,How to Train Your Dragon 2,PG,Animation Action Adventure,102,7.8
616,The Big Short,R,Biography Comedy Drama,130,7.8
617,I Saw the Devil,Not Rated,Action Crime Drama,144,7.8
618,The Girl with the Dragon Tattoo,R,Crime Drama Mystery,158,7.8
619,Captain Phillips,PG-13,Adventure Biography Crime,134,7.8
620,The Man from Nowhere,R,Action Crime Drama,119,7.8
621,Straight Outta Compton,R,Biography Drama History,147,7.8
622,The Irishman,R,Biography Crime Drama,209,7.8
623,Mother,R,Crime Drama Mystery,129,7.8
624,The Chaser,Not Rated,Action Crime Thriller,125,7.8
625,Moon,R,Drama Mystery Sci-Fi,97,7.8
626,The Hobbit: The Desolation of Smaug,PG-13,Adventure Fantasy,161,7.8
627,The White Ribbon,R,Drama History Mystery,144,7.8
628,The Girl with the Dragon Tattoo,R,Crime Drama Mystery,152,7.8
629,The Trial of the Chicago 7,R,Drama History Thriller,129,7.8
630,Another Round,Not Rated,Comedy Drama,117,7.8
631,The Fighter,R,Biography Drama Sport,116,7.8
632,Taken,PG-13,Action Crime Thriller,90,7.8
633,The Boy in the Striped Pajamas,PG-13,Drama History War,94,7.8
634,Once,R,Drama Music Romance,86,7.8
635,The Hobbit: An Unexpected Journey,PG-13,Adventure Fantasy,169,7.8
636,The Edge of Heaven,Not Rated,Drama,122,7.8
637,Atonement,R,Drama Mystery Romance,123,7.8
638,Drive,R,Crime Drama,100,7.8
639,American Gangster,R,Biography Crime Drama,157,7.8
640,Avatar,PG-13,Action Adventure Fantasy,162,7.8
641,Mr. Nobody,R,Drama Fantasy Romance,141,7.8
642,Apocalypto,R,Action Adventure Drama,139,7.8
643,The Fall,R,Adventure Drama Fantasy,117,7.8
644,Little Miss Sunshine,R,Comedy Drama,101,7.8
645,Hot Fuzz,R,Action Comedy Mystery,121,7.8
646,The Curious Case of Benjamin Button,PG-13,Drama Fantasy Romance,166,7.8
647,Veer-Zaara,Not Rated,Drama Family Musical,192,7.8
648,Adam's Apples,R,Comedy Crime Drama,94,7.8
649,Pride & Prejudice,PG,Drama Romance,129,7.8
650,The World's Fastest Indian,PG-13,Biography Drama Sport,127,7.8
651,Tokyo Godfathers,PG-13,Animation Adventure Comedy,92,7.8
652,Serenity,PG-13,Action Adventure Sci-Fi,119,7.8
653,Walk the Line,PG-13,Biography Drama Music,136,7.8
654,Evil,Not Rated,Drama,113,7.8
655,The Notebook,PG-13,Drama Romance,123,7.8
656,The Motorcycle Diaries,R,Adventure Biography Drama,126,7.8
657,Lilya 4-Ever,R,Crime Drama,109,7.8
658,The Triplets of Belleville,PG-13,Animation Comedy Drama,80,7.8
659,Joint Security Area,Not Rated,Action Drama Thriller,110,7.8
660,Waking Life,R,Animation Drama Fantasy,99,7.8
661,Remember the Titans,PG,Biography Drama Sport,113,7.8
662,"Crouching Tiger, Hidden Dragon",PG-13,Action Adventure Fantasy,120,7.8
663,Cast Away,PG-13,Adventure Drama Romance,143,7.8
664,The Insider,R,Biography Drama Thriller,157,7.8
665,October Sky,PG,Biography Drama Family,108,7.8
666,Titanic,PG-13,Drama Romance,194,7.8
667,Taste of Cherry,Not Rated,Drama,95,7.8
668,Fireworks,Not Rated,Crime Drama Romance,103,7.8
669,Gattaca,PG-13,Drama Sci-Fi Thriller,106,7.8
670,Breaking the Waves,R,Drama,159,7.8
671,Ed Wood,R,Biography Comedy Drama,127,7.8
672,Tombstone,R,Action Biography Drama,130,7.8
673,The Sandlot,PG,Comedy Drama Family,101,7.8
674,The Remains of the Day,PG,Drama Romance,134,7.8
675,Naked,Not Rated,Comedy Drama,131,7.8
676,The Fugitive,PG-13,Action Crime Drama,130,7.8
677,A Bronx Tale,R,Crime Drama Romance,121,7.8
678,Batman: Mask of the Phantasm,PG,Animation Action Crime,76,7.8
679,Hard Boiled,R,Action Crime Thriller,128,7.8
680,The Double Life of Véronique,R,Drama Fantasy Music,98,7.8
681,Boyz n the Hood,R,Crime Drama,112,7.8
682,Misery,R,Drama Thriller,107,7.8
683,Awakenings,PG-13,Biography Drama,121,7.8
684,Glory,R,Biography Drama History,122,7.8
685,The Killer,R,Action Crime Drama,111,7.8
686,Back to the Future Part II,PG,Adventure Comedy Sci-Fi,108,7.8
687,Mississippi Burning,R,Crime Drama History,128,7.8
688,Predator,R,Action Adventure Sci-Fi,107,7.8
689,Ferris Bueller's Day Off,PG-13,Comedy,103,7.8
690,The Goonies,PG,Adventure Comedy Family,114,7.8
691,The Color Purple,PG-13,Drama,154,7.8
692,The Breakfast Club,R,Comedy Drama,97,7.8
693,The Killing Fields,R,Biography Drama History,141,7.8
694,Ghostbusters,PG,Action Comedy Fantasy,105,7.8
695,The Right Stuff,PG,Adventure Biography Drama,193,7.8
696,The King of Comedy,PG,Comedy Crime Drama,109,7.8
697,E.T. the Extra-Terrestrial,PG,Family Sci-Fi,115,7.8
698,Kramer vs. Kramer,PG,Drama,105,7.8
699,Days of Heaven,PG,Drama Romance,94,7.8
700,The Outlaw Josey Wales,PG,Western,135,7.8
701,The Man Who Would Be King,PG,Adventure History War,129,7.8
702,The Conversation,PG,Drama Mystery Thriller,113,7.8
703,Fantastic Planet,PG,Animation Sci-Fi,72,7.8
704,The Day of the Jackal,PG,Crime Drama Thriller,143,7.8
705,Badlands,PG,Action Crime Drama,94,7.8
706,Cabaret,PG,Drama Music Musical,124,7.8
707,Willy Wonka & the Chocolate Factory,G,Family Fantasy Musical,100,7.8
708,Midnight Cowboy,R,Drama,113,7.8
709,Wait Until Dark,Not Rated,Thriller,108,7.8
710,Guess Who's Coming to Dinner,Not Rated,Comedy Drama,108,7.8
711,Bonnie and Clyde,R,Action Biography Crime,111,7.8
712,The Umbrellas of Cherbourg,Not Rated,Drama Musical Romance,91,7.8
713,My Fair Lady,G,Drama Family Musical,170,7.8
714,Mary Poppins,G,Comedy Family Fantasy,139,7.8
715,The Longest Day,G,Action Drama History,178,7.8
716,Jules and Jim,Not Rated,Drama Romance,105,7.8
717,The Innocents,Not Rated,Horror,100,7.8
718,Breathless,Not Rated,Crime Drama,90,7.8
719,The Quiet Man,Not Rated,Comedy Drama Romance,129,7.8
720,The African Queen,PG,Adventure Drama Romance,105,7.8
721,Red River,Not Rated,Action Adventure Drama,133,7.8
722,Key Largo,Not Rated,Action Crime Drama,100,7.8
723,To Have and Have Not,Not Rated,Adventure Comedy Film-Noir,100,7.8
724,Gaslight,Not Rated,Crime Drama Mystery,114,7.8
725,Shadow of a Doubt,PG,Film-Noir Thriller,108,7.8
726,The Lady Vanishes,Not Rated,Mystery Thriller,96,7.8
727,The Bride of Frankenstein,Not Rated,Drama Horror Sci-Fi,75,7.8
728,Duck Soup,Not Rated,Comedy Musical,69,7.8
729,Scarface,PG,Action Crime Drama,93,7.8
730,Frankenstein,Not Rated,Drama Horror Sci-Fi,70,7.8
731,The Mitchells vs the Machines,PG,Animation Adventure Comedy,113,7.7
732,Roma,R,Drama,135,7.7
733,God's Own Country,Not Rated,Drama Romance,104,7.7
734,Deadpool 2,R,Action Adventure Comedy,119,7.7
735,Wind River,R,Crime Drama Mystery,107,7.7
736,The Salesman,PG-13,Drama,124,7.7
737,Get Out,R,Horror Mystery Thriller,104,7.7
738,Mission: Impossible - Fallout,PG-13,Action Adventure Thriller,147,7.7
739,A Man Called Ove,PG-13,Comedy Drama Romance,116,7.7
740,What We Do in the Shadows,R,Comedy Horror,86,7.7
741,When Marnie Was There,PG,Animation Drama Family,103,7.7
742,The Theory of Everything,PG-13,Biography Drama Romance,123,7.7
743,Kingsman: The Secret Service,R,Action Adventure Comedy,129,7.7
744,The Fault in Our Stars,PG-13,Drama Romance,126,7.7
745,Me and Earl and the Dying Girl,PG-13,Comedy Drama,105,7.7
746,Birdman or (The Unexpected Virtue of Ignorance),R,Comedy Drama,119,7.7
747,The Past,PG-13,Drama Mystery,130,7.7
748,Blue Is the Warmest Colour,NC-17,Drama Romance,180,7.7
749,The Broken Circle Breakdown,Not Rated,Drama Music Romance,111,7.7
750,Toy Story 4,G,Animation Adventure Comedy,100,7.7
751,Captain America: The Winter Soldier,PG-13,Action Adventure Sci-Fi,136,7.7
752,Rockstar,Not Rated,Drama Music Romance,159,7.7
753,Nebraska,R,Adventure Comedy Drama,115,7.7
754,Wreck-It Ralph,PG,Animation Adventure Comedy,101,7.7
755,The Little Prince,PG,Animation Adventure Drama,108,7.7
756,Detachment,Not Rated,Drama,98,7.7
757,Midnight in Paris,PG-13,Comedy Fantasy Romance,94,7.7
758,Confessions,Not Rated,Drama Thriller,106,7.7
759,The Lego Movie,PG,Animation Adventure Comedy,100,7.7
760,Gravity,PG-13,Adventure Drama Sci-Fi,91,7.7
761,Star Trek Into Darkness,PG-13,Action Adventure Sci-Fi,132,7.7
762,Beasts of No Nation,TV-MA,Drama War,137,7.7
763,The Social Network,PG-13,Biography Drama,120,7.7
764,X: First Class,PG-13,Action Adventure Sci-Fi,131,7.7
765,The Hangover,R,Comedy,100,7.7
766,Skyfall,PG-13,Action Adventure Thriller,143,7.7
767,Silver Linings Playbook,R,Comedy Drama Romance,122,7.7
768,Argo,R,Biography Drama Thriller,120,7.7
769,500 Days of Summer,PG-13,Comedy Drama Romance,95,7.7
770,Harry Potter and the Deathly Hallows: Part 1,PG-13,Adventure Fantasy Mystery,146,7.7
771,Ponyo,G,Animation Adventure Comedy,101,7.7
772,Frost/Nixon,R,Biography Drama History,122,7.7
773,Paprika,R,Animation Drama Fantasy,90,7.7
774,Changeling,R,Biography Crime Drama,141,7.7
775,Flipped,PG,Comedy Drama Romance,90,7.7
776,The Girl Who Leapt Through Time,TV-PG,Animation Adventure Comedy,98,7.7
777,This Is England,Not Rated,Crime Drama,101,7.7
778,Ex Machina,R,Drama Sci-Fi Thriller,108,7.7
779,After the Wedding,R,Drama,120,7.7
780,The Last King of Scotland,R,Biography Drama History,123,7.7
781,Zodiac,R,Crime Drama Mystery,157,7.7
782,Lucky Number Slevin,R,Crime Drama Thriller,110,7.7
783,Joyeux Noel,PG-13,Drama History Music,116,7.7
784,Control,R,Biography Drama Music,122,7.7
785,Tangled,PG,Animation Adventure Comedy,100,7.7
786,Black Book,R,Drama Thriller War,145,7.7
787,Brokeback Mountain,R,Drama Romance,134,7.7
788,3:10 to Yuma,R,Action Crime Drama,122,7.7
789,Crash,R,Crime Drama Thriller,112,7.7
790,Kung Fu Hustle,R,Action Comedy Fantasy,99,7.7
791,The Bourne Supremacy,PG-13,Action Mystery Thriller,108,7.7
792,The Machinist,R,Drama Thriller,101,7.7
793,Ray,PG-13,Biography Drama Music,152,7.7
794,Lost in Translation,R,Comedy Drama,102,7.7
795,Harry Potter and the Goblet of Fire,PG-13,Adventure Family Fantasy,157,7.7
796,Man on Fire,R,Action Crime Drama,146,7.7
797,Coraline,PG,Animation Drama Family,100,7.7
798,The Last Samurai,R,Action Drama,154,7.7
799,The Magdalene Sisters,R,Drama,114,7.7
800,Finding Neverland,PG,Biography Drama Family,106,7.7
801,Good Bye Lenin!,R,Comedy Drama Romance,121,7.7
802,In America,PG-13,Drama,105,7.7
803,Adaptation.,R,Comedy Drama,115,7.7
804,Black Hawk Down,R,Drama History War,144,7.7
805,Road to Perdition,R,Crime Drama Thriller,117,7.7
806,The Experiment,R,Drama Thriller,120,7.7
807,Billy Elliot,R,Drama Music,110,7.7
808,Hedwig and the Angry Inch,R,Comedy Drama Music,95,7.7
809,The Count of Monte Cristo,PG-13,Action Adventure Drama,131,7.7
810,Ocean's Eleven,PG-13,Crime Thriller,116,7.7
811,Vampire Hunter D: Bloodlust,R,Animation Action Fantasy,103,7.7
812,"O Brother, Where Art Thou?",PG-13,Adventure Comedy Crime,107,7.7
813,Interstate 60: Episodes of the Road,R,Adventure Comedy Drama,116,7.7
814,"South Park: Bigger, Longer & Uncut",R,Animation Comedy Fantasy,81,7.7
815,Office Space,R,Comedy,89,7.7
816,Happiness,Not Rated,Comedy Drama,134,7.7
817,The Boondock Saints,R,Action Crime Thriller,108,7.7
818,Training Day,R,Crime Drama Thriller,122,7.7
819,Run Lola Run,R,Crime Drama Thriller,80,7.7
820,Rushmore,R,Comedy Drama Romance,93,7.7
821,Open Your Eyes,R,Drama Mystery Sci-Fi,119,7.7
822,Being John Malkovich,R,Comedy Drama Fantasy,113,7.7
823,As Good as It Gets,PG-13,Comedy Drama Romance,139,7.7
824,The Game,R,Drama Mystery Thriller,129,7.7
825,The Fifth Element,PG-13,Action Adventure Sci-Fi,126,7.7
826,Le Dîner de Cons,PG-13,Comedy,80,7.7
827,Donnie Brasco,R,Biography Crime Drama,127,7.7
828,Happy Together,Not Rated,Drama Romance,96,7.7
829,Shine,PG-13,Biography Drama Music,105,7.7
830,Primal Fear,R,Crime Drama Mystery,129,7.7
831,Hamlet,PG-13,Drama,242,7.7
832,Sense and Sensibility,PG,Drama Romance,136,7.7
833,A Little Princess,G,Drama Family Fantasy,97,7.7
834,Fallen Angels,Not Rated,Comedy Crime Drama,99,7.7
835,The Postman,PG,Biography Comedy Drama,108,7.7
836,Clerks,R,Comedy,92,7.7
837,What's Eating Gilbert Grape,PG-13,Drama,118,7.7
838,Short Cuts,R,Comedy Drama,188,7.7
839,Philadelphia,PG-13,Drama,125,7.7
840,The Muppet Christmas Carol,G,Comedy Drama Family,85,7.7
841,Malcolm X,PG-13,Biography Drama History,202,7.7
842,The Last of the Mohicans,R,Action Adventure Drama,112,7.7
843,Porco Rosso,PG,Animation Adventure Comedy,94,7.7
844,Glengarry Glen Ross,R,Crime Drama Mystery,100,7.7
845,A Few Good Men,R,Drama Thriller,138,7.7
846,Night on Earth,R,Comedy Drama,129,7.7
847,Fried Green Tomatoes,PG-13,Drama,130,7.7
848,Barton Fink,R,Comedy Drama Thriller,116,7.7
849,Miller's Crossing,R,Crime Drama Thriller,115,7.7
850,Who Framed Roger Rabbit,PG,Animation Adventure Comedy,104,7.7
851,The Vanishing,Not Rated,Mystery Thriller,107,7.7
852,The Last Emperor,PG-13,Biography Drama History,163,7.7
853,Evil Dead II,R,Comedy Horror,84,7.7
854,Empire of the Sun,PG,Action Drama History,153,7.7
855,The Name of the Rose,R,Crime Drama Mystery,130,7.7
856,Down by Law,R,Comedy Crime Drama,107,7.7
857,Blue Velvet,R,Drama Mystery Thriller,120,7.7
858,The Purple Rose of Cairo,PG,Comedy Fantasy Romance,82,7.7
859,After Hours,R,Comedy Crime Drama,97,7.7
860,Zelig,PG,Comedy,79,7.7
861,The Verdict,R,Drama,129,7.7
862,Star Trek II: The Wrath of Khan,PG,Action Adventure Sci-Fi,113,7.7
863,First Blood,R,Action Adventure,93,7.7
864,Ordinary People,R,Drama,124,7.7
865,Airplane!,PG,Comedy,88,7.7
866,Halloween,R,Horror Thriller,91,7.7
867,The Tenant,R,Drama Thriller,126,7.7
868,Love and Death,PG,Comedy War,85,7.7
869,The Taking of Pelham One Two Three,R,Action Crime Thriller,104,7.7
870,Blazing Saddles,R,Comedy Western,93,7.7
871,Serpico,R,Biography Crime Drama,130,7.7
872,Enter the Dragon,R,Action Crime Drama,102,7.7
873,Deliverance,R,Adventure Drama Thriller,109,7.7
874,The French Connection,R,Action Crime Drama,104,7.7
875,Dirty Harry,R,Action Crime Thriller,102,7.7
876,The Odd Couple,G,Comedy,105,7.7
877,The Dirty Dozen,Not Rated,Action Adventure War,150,7.7
878,Belle de Jour,R,Drama Romance,100,7.7
879,A Man for All Seasons,G,Biography Drama History,120,7.7
880,Repulsion,Not Rated,Drama Horror Thriller,105,7.7
881,Zulu,Not Rated,Drama History War,138,7.7
882,Goldfinger,PG,Action Adventure Thriller,110,7.7
883,The Birds,PG-13,Drama Horror Mystery,119,7.7
884,Cape Fear,Not Rated,Drama Thriller,106,7.7
885,Peeping Tom,Not Rated,Drama Horror Thriller,101,7.7
886,The Magnificent Seven,Not Rated,Action Adventure Western,128,7.7
887,Les yeux sans visage,Not Rated,Drama Horror,90,7.7
888,Invasion of the Body Snatchers,Not Rated,Drama Horror Sci-Fi,80,7.7
889,Rebel Without a Cause,PG-13,Drama,111,7.7
890,The Ladykillers,Not Rated,Comedy Crime,91,7.7
891,Sabrina,Not Rated,Comedy Drama Romance,113,7.7
892,The Caine Mutiny,Not Rated,Drama War,124,7.7
893,The Day the Earth Stood Still,G,Drama Sci-Fi,92,7.7
894,Fantasia,G,Animation Family Fantasy,125,7.7
895,The Invisible Man,TV-PG,Horror Sci-Fi,71,7.7
896,Dark Waters,PG-13,Biography Drama History,126,7.6
897,Searching,PG-13,Drama Mystery Thriller,102,7.6
898,Once Upon a Time... In Hollywood,R,Comedy Drama,161,7.6
899,Loveless,R,Drama,127,7.6
900,Train to Busan,Not Rated,Action Horror Thriller,118,7.6
901,The Florida Project,R,Drama,111,7.6
902,Just Mercy,PG-13,Biography Crime Drama,137,7.6
903,Gifted,PG-13,Drama,101,7.6
904,The Peanut Butter Falcon,PG-13,Adventure Comedy Drama,97,7.6
905,Victoria,Not Rated,Crime Drama Romance,138,7.6
906,Guardians of the Galaxy Vol. 2,PG-13,Action Adventure Comedy,136,7.6
907,Baby Driver,R,Action Crime Drama,113,7.6
908,Only the Brave,PG-13,Action Biography Drama,134,7.6
909,Incredibles 2,PG,Animation Action Adventure,118,7.6
910,Moana,PG,Animation Adventure Comedy,107,7.6
911,Sicario,R,Action Crime Drama,121,7.6
912,Creed,PG-13,Drama Sport,133,7.6
913,Leviathan,R,Crime Drama,140,7.6
914,Hell or High Water,R,Action Crime Drama,102,7.6
915,Philomena,PG-13,Biography Comedy Drama,98,7.6
916,The Body,Not Rated,Mystery Thriller,112,7.6
917,The Raid: Redemption,R,Action Thriller,101,7.6
918,End of Watch,R,Action Adventure Crime,109,7.6
919,A Star Is Born,R,Drama Music Romance,136,7.6
920,True Grit,PG-13,Drama Western,110,7.6
921,In a Better World,R,Drama Romance,118,7.6
922,Despicable Me,PG,Animation Adventure Comedy,95,7.6
923,50/50,R,Comedy Drama Romance,100,7.6
924,Celda 211,Not Rated,Action Adventure Crime,113,7.6
925,Moneyball,PG-13,Biography Drama Sport,133,7.6
926,The Skin I Live In,R,Drama Horror Thriller,120,7.6
927,Zombieland,R,Adventure Comedy Fantasy,88,7.6
928,The Wave,Not Rated,Drama Thriller,107,7.6
929,Sherlock Holmes,PG-13,Action Adventure Mystery,128,7.6
930,The Blind Side,PG-13,Biography Drama Sport,129,7.6
931,The Visitor,PG-13,Drama,104,7.6
932,Seven Pounds,PG-13,Drama,123,7.6
933,Eastern Promises,R,Action Crime Drama,100,7.6
934,Death Note,Not Rated,Crime Drama Fantasy,126,7.6
935,Stardust,PG-13,Adventure Family Fantasy,127,7.6
936,The Secret of Kells,Not Rated,Animation Adventure Family,75,7.6
937,Inside Man,R,Crime Drama Mystery,129,7.6
938,Gone Baby Gone,R,Crime Drama Mystery,114,7.6
939,La Vie En Rose,PG-13,Biography Drama Music,140,7.6
940,Dead Man's Shoes,Not Rated,Crime Drama Thriller,90,7.6
941,Harry Potter and the Half-Blood Prince,PG,Action Adventure Family,153,7.6
942,300,R,Action Drama,117,7.6
943,Match Point,R,Drama Romance Thriller,124,7.6
944,Watchmen,R,Action Drama Mystery,162,7.6
945,Saw,R,Horror Mystery Thriller,103,7.6
946,Mysterious Skin,Not Rated,Drama,105,7.6
947,A Very Long Engagement,R,Drama Mystery Romance,133,7.6
948,The Station Agent,R,Comedy Drama,89,7.6
949,21 Grams,R,Crime Drama Thriller,124,7.6
