,Name of movie,Rating,Genre,Watchtime,Metascore
154,The Wolf of Wall Street,R,Biography Crime Drama,180,75
155,Chak De! India,Not Rated,Drama Family Sport,153,68
156,There Will Be Blood,R,Drama,158,93
157,Pan's Labyrinth,R,Drama Fantasy War,118,98
158,Toy Story 3,G,Animation Adventure Comedy,103,92
160,Batman Begins,PG-13,Action Adventure,140,70
162,Downfall,R,Biography Drama History,156,82
163,Howl's Moving Castle,PG,Animation Adventure Family,119,80
164,A Beautiful Mind,PG-13,Biography Drama,135,72
166,"Lock, Stock and Two Smoking Barrels",R,Action Comedy Crime,107,66
167,L.A. Confidential,R,Crime Drama Mystery,138,90
169,Heat,R,Crime Drama Thriller,170,76
170,Casino,R,Crime Drama,178,73
171,Unforgiven,R,Drama Western,130,85
172,Indiana Jones and the Last Crusade,PG-13,Action Adventure,127,65
174,My Neighbor Totoro,G,Animation Family Fantasy,86,86
175,Die Hard,R,Action Thriller,132,72
176,Ran,R,Action Drama War,162,96
177,Raging Bull,R,Biography Drama Sport,129,89
179,Taxi Driver,R,Crime Drama,114,94
182,Monty Python and the Holy Grail,PG,Adventure Comedy Fantasy,91,91
183,Chinatown,R,Drama Mystery Thriller,130,92
185,For a Few Dollars More,R,Western,132,74
186,The Great Escape,Not Rated,Adventure Drama History,172,86
187,Yojimbo,Not Rated,Action Drama Thriller,110,93
188,Judgment at Nuremberg,Not Rated,Drama War,179,60
189,Some Like It Hot,Not Rated,Comedy Music Romance,121,98
190,Wild Strawberries,Not Rated,Drama Romance,91,88
191,The Seventh Seal,Not Rated,Drama Fantasy History,96,88
192,Dial M for Murder,PG,Crime Thriller,105,75
194,Rashomon,Not Rated,Crime Drama Mystery,88,98
195,All About Eve,Not Rated,Drama,138,98
196,The Treasure of the Sierra Madre,Not Rated,Adventure Drama Western,126,98
197,To Be or Not to Be,Not Rated,Comedy Romance War,99,86
200,Portrait of a Lady on Fire,R,Drama Romance,122,95
202,Wolfwalkers,PG,Animation Adventure Family,103,87
203,"Three Billboards Outside Ebbing, Missouri",R,Comedy Crime Drama,115,88
205,The Handmaiden,Not Rated,Drama Romance Thriller,145,84
206,Mommy,R,Drama,139,74
208,Logan,R,Action Drama Sci-Fi,137,77
209,Room,R,Drama Thriller,118,86
210,Wild Tales,R,Comedy Drama Thriller,122,77
211,Soul,PG,Animation Adventure Comedy,100,83
212,Winter Sleep,Not Rated,Drama,196,88
215,The Grand Budapest Hotel,R,Adventure Comedy Crime,99,88
216,Gone Girl,R,Drama Mystery Thriller,149,79
217,Wolf Children,PG,Animation Drama Fantasy,117,71
218,Hacksaw Ridge,R,Biography Drama History,139,71
219,Inside Out,PG,Animation Adventure Comedy,95,94
221,12 Years a Slave,R,Biography Drama History,134,96
222,Rush,R,Action Biography Drama,123,74
223,Ford v Ferrari,PG-13,Action Biography Drama,152,81
224,Spotlight,R,Biography Crime Drama,129,93
225,Song of the Sea,PG,Animation Adventure Drama,93,85
227,Prisoners,R,Crime Drama Mystery,153,70
228,Mad Max: Fury Road,R,Action Adventure Sci-Fi,120,90
229,Warrior,PG-13,Action Drama Sport,140,71
231,Zack Snyder's Justice League,R,Action Adventure Fantasy,242,54
232,Gran Torino,R,Drama,116,72
233,Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure Drama Fantasy,130,85
234,Departures,PG-13,Drama Music,130,68
237,How to Train Your Dragon,PG,Animation Action Adventure,98,75
238,Into the Wild,R,Adventure Biography Drama,148,73
239,No Country for Old Men,R,Crime Drama Thriller,122,91
241,V for Vendetta,R,Action Drama Sci-Fi,132,62
242,Nobody Knows,PG-13,Drama,141,88
244,Million Dollar Baby,PG-13,Drama Sport,132,86
245,Hotel Rwanda,PG-13,Biography Drama History,121,79
246,Before Sunset,R,Drama Romance,80,90
248,Memories of Murder,Not Rated,Crime Drama Mystery,132,82
250,Kill Bill: Vol. 1,R,Action Crime Drama,111,69
251,Finding Nemo,G,Animation Adventure Comedy,100,90
252,Catch Me If You Can,PG-13,Biography Crime Drama,141,75
253,Love's a Bitch,R,Drama Thriller,154,83
254,"Monsters, Inc.",G,Animation Adventure Comedy,92,79
256,Lagaan: Once Upon a Time in India,PG,Drama Musical Sport,224,84
257,The Sixth Sense,PG-13,Drama Mystery Thriller,107,64
258,The Celebration,R,Drama,105,82
259,The Legend of 1900,R,Drama Music Romance,169,58
260,The Truman Show,PG,Comedy Drama,103,90
261,"Black Cat, White Cat",R,Comedy Crime Romance,127,73
262,The Big Lebowski,R,Comedy Crime Sport,117,71
263,In the Mood for Love,PG,Drama Romance,98,85
264,Trainspotting,R,Drama,93,83
265,Fargo,R,Crime Drama Thriller,98,85
266,Underground,Not Rated,Comedy Drama Fantasy,167,79
269,Before Sunrise,R,Drama Romance,101,77
270,Three Colors: Red,R,Drama Mystery Romance,99,100
271,Chungking Express,PG-13,Comedy Crime Drama,102,78
273,Jurassic Park,PG-13,Action Adventure Sci-Fi,127,68
274,In the Name of the Father,R,Biography Crime Drama,133,84
275,Farewell My Concubine,R,Drama Music Romance,171,83
277,Dead Poets Society,PG,Comedy Drama,128,79
278,The Princess Bride,PG,Adventure Family Fantasy,98,77
279,Stand by Me,R,Adventure Drama,89,75
280,Platoon,R,Drama War,120,92
281,"Paris, Texas",R,Drama,145,78
282,Nausicaä of the Valley of the Wind,PG,Animation Adventure Fantasy,117,86
283,The Thing,R,Horror Mystery Sci-Fi,109,57
285,Fanny and Alexander,R,Drama,188,100
286,Blade Runner,R,Action Sci-Fi Thriller,117,84
287,The Elephant Man,PG,Biography Drama,124,78
289,Monty Python's Life of Brian,R,Comedy,94,77
290,The Deer Hunter,R,Drama War,183,86
291,Rocky,PG,Drama Sport,120,70
292,Network,R,Drama,121,83
293,Barry Lyndon,PG,Adventure Drama History,185,89
294,Mirror,Not Rated,Biography Drama,107,80
295,Paper Moon,PG,Comedy Crime Drama,102,77
297,Solaris,PG,Drama Mystery Sci-Fi,167,90
299,Cool Hand Luke,GP,Crime Drama,127,92
300,Persona,Not Rated,Drama Thriller,83,86
302,The Battle of Algiers,Not Rated,Drama War,121,96
304,What Ever Happened to Baby Jane?,Not Rated,Drama Horror Thriller,134,75
306,The Man Who Shot Liberty Valance,Not Rated,Drama Western,123,94
309,Inherit the Wind,Not Rated,Biography Drama History,128,75
311,Ben-Hur,G,Adventure Drama History,212,90
315,The Bridge on the River Kwai,PG,Adventure Drama War,161,87
316,Rififi,Not Rated,Crime Drama Thriller,118,97
317,On the Waterfront,Not Rated,Crime Drama Thriller,108,91
319,The Wages of Fear,Not Rated,Adventure Drama Thriller,131,85
320,Ace in the Hole,Not Rated,Drama Film-Noir,111,72
322,The Third Man,Not Rated,Film-Noir Mystery Thriller,93,97
324,The Best Years of Our Lives,Not Rated,Drama Romance War,170,93
325,The Shop Around the Corner,Not Rated,Comedy Drama Romance,99,96
326,Rebecca,Not Rated,Drama Mystery Romance,130,86
327,The Grapes of Wrath,Not Rated,Drama History,129,96
328,Mr. Smith Goes to Washington,Not Rated,Comedy Drama,129,73
329,Gone with the Wind,Not Rated,Drama History Romance,238,97
331,It Happened One Night,Not Rated,Comedy Romance,105,87
332,All Quiet on the Western Front,Not Rated,Drama War,152,91
334,The Circus,Not Rated,Comedy Romance,72,90
338,Shang-Chi and the Legend of the Ten Rings,PG-13,Action Adventure Fantasy,132,71
340,Togo,PG,Adventure Biography Drama,113,69
344,La La Land,PG-13,Comedy Drama Music,128,94
345,Lion,PG-13,Biography Drama,118,69
346,The Martian,PG-13,Adventure Drama Sci-Fi,144,80
347,Zootopia,PG,Animation Adventure Comedy,108,78
349,The Tale of The Princess Kaguya,PG,Animation Adventure Drama,137,89
350,Wonder,PG,Drama Family,113,66
352,Short Term 12,R,Drama,96,82
353,The Raid 2,R,Action Crime Thriller,150,71
354,The Imitation Game,PG-13,Biography Drama Thriller,114,71
355,Guardians of the Galaxy,PG-13,Action Adventure Comedy,121,76
356,Blade Runner 2049,R,Action Drama Mystery,164,81
357,Her,R,Drama Romance Sci-Fi,126,91
358,The Revenant,R,Action Adventure Drama,156,76
359,Elite Squad 2: The Enemy Within,Not Rated,Action Crime Drama,115,71
360,The King's Speech,R,Biography Drama History,118,88
361,The Help,PG-13,Drama,146,62
362,Deadpool,R,Action Adventure Comedy,108,65
363,Darbareye Elly,TV-PG,Drama Mystery,119,87
365,Ip Man,R,Action Biography Drama,106,59
366,My Name Is Khan,PG-13,Drama,165,50
368,Slumdog Millionaire,R,Drama Romance,120,84
369,Black Swan,R,Drama Thriller,108,79
370,Elite Squad,R,Action Crime Drama,115,33
371,The Avengers,PG-13,Action Adventure Sci-Fi,143,69
372,Persepolis,PG-13,Animation Biography Drama,96,90
373,Dallas Buyers Club,R,Biography Drama,117,79
374,The Pursuit of Happyness,PG-13,Biography Drama,117,64
375,Blood Diamond,R,Adventure Drama Thriller,143,64
376,The Bourne Ultimatum,PG-13,Action Adventure Mystery,115,85
377,3-Iron,R,Crime Drama Romance,88,72
378,Sin City,R,Crime Thriller,124,74
379,The Diving Bell and the Butterfly,PG-13,Biography Drama,112,92
380,Tae Guk Gi: The Brotherhood of War,R,Action Drama War,140,64
382,Ratatouille,G,Animation Adventure Comedy,111,96
383,Casino Royale,PG-13,Action Adventure Thriller,144,80
384,Kill Bill: Vol. 2,R,Action Crime Thriller,137,83
385,The Return,Not Rated,Drama,110,82
386,"Spring, Summer, Fall, Winter... and Spring",R,Drama Romance,103,85
387,The Sea Inside,PG-13,Biography Drama,126,74
388,Cinderella Man,PG-13,Biography Drama History,144,69
389,Infernal Affairs,R,Action Crime Drama,101,75
390,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Action Adventure Fantasy,143,63
391,Big Fish,PG-13,Adventure Drama Fantasy,125,58
392,The Incredibles,PG,Animation Action Adventure,115,90
394,Dogville,R,Crime Drama,178,60
396,Donnie Darko,R,Drama Mystery Sci-Fi,113,88
397,Magnolia,R,Drama,188,77
398,Dancer in the Dark,R,Crime Drama Musical,140,61
